comparator,outcome,analysis,adjustment,time,hr,lc,uc
pneumonia,stroke,stroke_cens_gp,full,0,1.2372459,1.0692843,1.4315907
pneumonia,stroke,stroke_cens_gp,full,30,.7633093,.58423728,.9972679
pneumonia,stroke,stroke_cens_gp,full,60,.80092126,.56211483,1.1411812
pneumonia,stroke,stroke_cens_gp,full,90,1.0454998,.73409069,1.489012
pneumonia,stroke,stroke_cens_gp,full,120,.94728404,.75600946,1.1869521
pneumonia,dvt,dvt_cens_gp,full,0,1.1168295,.92740083,1.3449504
pneumonia,dvt,dvt_cens_gp,full,30,.97771186,.7024644,1.3608098
pneumonia,dvt,dvt_cens_gp,full,60,.80186868,.51016825,1.2603556
pneumonia,dvt,dvt_cens_gp,full,90,.97666276,.56451178,1.6897259
pneumonia,dvt,dvt_cens_gp,full,120,.94124067,.69121993,1.2816963
pneumonia,pe,pe_cens_gp,full,0,1.5099614,1.34936,1.6896776
pneumonia,pe,pe_cens_gp,full,30,.8892228,.69126332,1.1438726
pneumonia,pe,pe_cens_gp,full,60,.97063583,.68062955,1.3842095
pneumonia,pe,pe_cens_gp,full,90,.78376824,.52604687,1.1677527
pneumonia,pe,pe_cens_gp,full,120,.65894234,.49322155,.88034481
pneumonia,heart_failure,heart_failure_cens_gp,full,0,.9717043,.91185457,1.0354823
pneumonia,heart_failure,heart_failure_cens_gp,full,30,.80474889,.71859312,.90123427
pneumonia,heart_failure,heart_failure_cens_gp,full,60,.77372336,.66891682,.89495105
pneumonia,heart_failure,heart_failure_cens_gp,full,90,.87006027,.72586322,1.0429029
pneumonia,heart_failure,heart_failure_cens_gp,full,120,.68301165,.60824442,.7669695
pneumonia,mi,mi_cens_gp,full,0,1.2332736,1.0150787,1.4983705
pneumonia,mi,mi_cens_gp,full,30,.76422125,.52771443,1.1067239
pneumonia,mi,mi_cens_gp,full,60,.63380939,.41820008,.96057934
pneumonia,mi,mi_cens_gp,full,90,.69008934,.41249144,1.1545048
pneumonia,mi,mi_cens_gp,full,120,.74067974,.55851966,.98225105
pneumonia,aki,aki_cens_gp,full,0,1.3756448,1.2836616,1.4742191
pneumonia,aki,aki_cens_gp,full,30,.75693756,.66510504,.86144966
pneumonia,aki,aki_cens_gp,full,60,.77092665,.65410382,.90861398
pneumonia,aki,aki_cens_gp,full,90,.71276253,.58471894,.86884546
pneumonia,aki,aki_cens_gp,full,120,.68084788,.60927236,.76083183
pneumonia,t2dm,t2dm,full,0,1.4211438,1.1720343,1.7232
pneumonia,t2dm,t2dm,full,30,1.2254204,.90719783,1.6552674
pneumonia,t2dm,t2dm,full,60,1.2002455,.78456873,1.8361541
pneumonia,t2dm,t2dm,full,90,1.5204264,1.0206097,2.2650151
pneumonia,t2dm,t2dm,full,120,1.1844887,.93123144,1.5066216
gen_population,stroke,stroke_cens_gp,full,0,6.623075,5.4962444,7.9809256
gen_population,stroke,stroke_cens_gp,full,30,3.2629533,2.446876,4.3512073
gen_population,stroke,stroke_cens_gp,full,60,2.6137798,1.8911349,3.6125634
gen_population,stroke,stroke_cens_gp,full,90,2.2893541,1.6034216,3.2687235
gen_population,stroke,stroke_cens_gp,full,120,1.8015635,1.5155143,2.1416037
gen_population,dvt,dvt_cens_gp,full,0,12.613627,9.0659494,17.549578
gen_population,dvt,dvt_cens_gp,full,30,6.3946571,4.1593738,9.8312006
gen_population,dvt,dvt_cens_gp,full,60,2.1289725,1.2278492,3.6914334
gen_population,dvt,dvt_cens_gp,full,90,2.5027254,1.3637986,4.5927854
gen_population,dvt,dvt_cens_gp,full,120,2.1305611,1.625093,2.7932496
gen_population,pe,pe_cens_gp,full,0,33.342262,24.847996,44.740288
gen_population,pe,pe_cens_gp,full,30,8.2000408,5.5610538,12.091354
gen_population,pe,pe_cens_gp,full,60,4.4969158,2.7632103,7.3183899
gen_population,pe,pe_cens_gp,full,90,4.6623354,2.836596,7.6631889
gen_population,pe,pe_cens_gp,full,120,2.1255941,1.5797027,2.8601272
gen_population,heart_failure,heart_failure_cens_gp,full,0,4.1913276,3.8366654,4.5787745
gen_population,heart_failure,heart_failure_cens_gp,full,30,2.2985737,2.0314727,2.6007936
gen_population,heart_failure,heart_failure_cens_gp,full,60,1.9309362,1.6645969,2.2398903
gen_population,heart_failure,heart_failure_cens_gp,full,90,2.1661353,1.8149145,2.5853243
gen_population,heart_failure,heart_failure_cens_gp,full,120,1.5611892,1.4158797,1.7214115
gen_population,mi,mi_cens_gp,full,0,4.7869487,3.7406271,6.125946
gen_population,mi,mi_cens_gp,full,30,1.9088452,1.3324995,2.7344775
gen_population,mi,mi_cens_gp,full,60,1.2996676,.82514131,2.0470867
gen_population,mi,mi_cens_gp,full,90,1.1134871,.7089113,1.7489543
gen_population,mi,mi_cens_gp,full,120,1.2383624,.98868984,1.5510846
gen_population,aki,aki_cens_gp,full,0,10.032901,8.9019642,11.307516
gen_population,aki,aki_cens_gp,full,30,2.9868672,2.5547245,3.4921091
gen_population,aki,aki_cens_gp,full,60,2.8302901,2.3704913,3.3792748
gen_population,aki,aki_cens_gp,full,90,2.1773694,1.7692583,2.6796186
gen_population,aki,aki_cens_gp,full,120,2.0242376,1.8287759,2.2405903
gen_population,t2dm,t2dm,full,0,6.2687149,4.9051242,8.0113754
gen_population,t2dm,t2dm,full,30,2.9253821,2.1308746,4.0161262
gen_population,t2dm,t2dm,full,60,1.7326468,1.1764505,2.5517986
gen_population,t2dm,t2dm,full,90,2.3605661,1.554063,3.5856156
gen_population,t2dm,t2dm,full,120,1.9656065,1.5950866,2.4221935
